"(p, d, q)",Accuracy,Precision,F1,FP_rate
"(0, 1, 1)",0.5,0.30303030303030304,0.3508771929824561,0.1891891891891892
"(0, 1, 2)",0.5,0.30303030303030304,0.3508771929824561,0.1891891891891892
"(0, 1, 3)",0.47297297297297297,0.2857142857142857,0.3389830508474576,0.1891891891891892
"(0, 1, 4)",0.4594594594594595,0.2894736842105263,0.3548387096774194,0.17567567567567569
"(1, 1, 1)",0.527027027027027,0.3103448275862069,0.33962264150943394,0.20270270270270271
"(1, 1, 2)",0.5,0.3142857142857143,0.3728813559322034,0.17567567567567569
"(1, 1, 3)",0.47297297297297297,0.2857142857142857,0.3389830508474576,0.1891891891891892
"(1, 1, 4)",0.4594594594594595,0.2894736842105263,0.3548387096774194,0.17567567567567569
"(2, 1, 1)",0.5135135135135135,0.3125,0.35714285714285715,0.1891891891891892
"(2, 1, 2)",0.40540540540540543,0.2222222222222222,0.26666666666666666,0.21621621621621623
"(2, 1, 3)",0.4864864864864865,0.3157894736842105,0.3870967741935484,0.16216216216216217
"(2, 1, 4)",0.4594594594594595,0.3,0.375,0.16216216216216217
