"(p, d, q)",Accuracy,Precision,F1,FP_rate
"(0, 1, 1)",0.5405405405405406,0.4146341463414634,0.5,0.13513513513513514
"(0, 1, 2)",0.5675675675675675,0.4358974358974359,0.5151515151515151,0.13513513513513514
"(0, 1, 3)",0.5675675675675675,0.4358974358974359,0.5151515151515151,0.13513513513513514
"(0, 1, 4)",0.5405405405405406,0.40540540540540543,0.46875,0.16216216216216217
"(1, 1, 1)",0.527027027027027,0.4090909090909091,0.5070422535211268,0.12162162162162163
"(1, 1, 2)",0.5540540540540541,0.42105263157894735,0.49230769230769234,0.14864864864864866
"(1, 1, 3)",0.527027027027027,0.3888888888888889,0.4444444444444444,0.17567567567567569
"(1, 1, 4)",0.527027027027027,0.36666666666666664,0.38596491228070173,0.21621621621621623
"(2, 1, 1)",0.5540540540540541,0.4166666666666667,0.47619047619047616,0.16216216216216217
"(2, 1, 2)",0.5405405405405406,0.3939393939393939,0.43333333333333335,0.1891891891891892
"(2, 1, 3)",0.4864864864864865,0.358974358974359,0.42424242424242425,0.17567567567567569
"(2, 1, 4)",0.6486486486486487,0.5142857142857142,0.5806451612903226,0.12162162162162163
"(3, 1, 1)",0.5675675675675675,0.41379310344827586,0.42857142857142855,0.20270270270270271
"(3, 1, 2)",0.527027027027027,0.40476190476190477,0.4927536231884058,0.13513513513513514
"(3, 1, 3)",0.527027027027027,0.39473684210526316,0.46153846153846156,0.16216216216216217
"(3, 1, 4)",0.43243243243243246,0.3170731707317073,0.38235294117647056,0.1891891891891892
