"(p, d, q)",Accuracy,Precision,F1,FP_rate
"(0, 1, 1)",0.4189189189189189,0.39473684210526316,0.410958904109589,0.2702702702702703
"(0, 1, 2)",0.44594594594594594,0.4375,0.5060240963855421,0.1891891891891892
"(0, 1, 3)",0.581081081081081,0.55,0.5866666666666667,0.17567567567567569
"(0, 1, 4)",0.5000000000000000,0.4722222222222222,0.4788732394366197,0.24324324324324326
"(1, 1, 1)",0.4594594594594595,0.4418604651162791,0.48717948717948717,0.21621621621621623
"(1, 1, 2)",0.5405405405405406,0.5116279069767442,0.5641025641025641,0.17567567567567569
"(1, 1, 3)",0.5945945945945946,0.7777777777777778,0.3181818181818182,0.3783783783783784
"(1, 1, 4)",0.5540540540540541,0.625,0.23255813953488372,0.40540540540540543
"(2, 1, 1)",0.527027027027027,0.5,0.5679012345679012,0.16216216216216217
"(2, 1, 2)",0.527027027027027,0.5,0.2553191489361702,0.3918918918918919
"(2, 1, 3)",0.5135135135135135,0.4,0.1,0.44594594594594594
"(2, 1, 4)",0.527027027027027,0.5,0.18604651162790697,0.4189189189189189
"(3, 1, 1)",0.5540540540540541,0.625,0.23255813953488372,0.40540540540540543
"(3, 1, 2)",0.4594594594594595,0.2222222222222222,0.09090909090909091,0.44594594594594594
"(3, 1, 3)",0.4864864864864865,0.42105263157894735,0.2962962962962963,0.36486486486486486
"(3, 1, 4)",0.5540540540540541,0.5833333333333334,0.2978723404255319,0.3783783783783784
