"(p, d, q)",Accuracy,Precision,F1,FP_rate
"(0, 1, 1)",0.43243243243243246,0.3157894736842105,0.36363636363636365,0.21621621621621623
"(0, 1, 2)",0.44594594594594594,0.32432432432432434,0.36923076923076925,0.21621621621621623
"(0, 1, 3)",0.47297297297297297,0.35135135135135137,0.4,0.20270270270270271
"(0, 1, 4)",0.43243243243243246,0.3055555555555556,0.34375,0.22972972972972974
"(1, 1, 1)",0.5,0.3448275862068966,0.3508771929824561,0.24324324324324326
"(1, 1, 2)",0.527027027027027,0.3870967741935484,0.4067796610169492,0.21621621621621623
"(1, 1, 3)",0.4864864864864865,0.32142857142857145,0.32142857142857145,0.25675675675675674
"(1, 1, 4)",0.47297297297297297,0.34285714285714286,0.38095238095238093,0.21621621621621623
"(2, 1, 1)",0.5135135135135135,0.375,0.4,0.21621621621621623
"(2, 1, 2)",0.4864864864864865,0.3611111111111111,0.40625,0.20270270270270271
"(2, 1, 3)",0.47297297297297297,0.34285714285714286,0.38095238095238093,0.21621621621621623
"(2, 1, 4)",0.5540540540540541,0.42857142857142855,0.47619047619047616,0.17567567567567569
"(3, 1, 1)",0.4864864864864865,0.3333333333333333,0.3448275862068966,0.24324324324324326
"(3, 1, 2)",0.44594594594594594,0.3142857142857143,0.3492063492063492,0.22972972972972974
"(3, 1, 3)",0.4594594594594595,0.3235294117647059,0.3548387096774194,0.22972972972972974
"(3, 1, 4)",0.47297297297297297,0.36585365853658536,0.43478260869565216,0.17567567567567569
