"(p, d, q)",Accuracy,Precision,F1,FP_rate
"(0, 1, 1)",0.5,0.3142857142857143,0.3728813559322034,0.17567567567567569
"(0, 1, 2)",0.4864864864864865,0.3055555555555556,0.36666666666666664,0.17567567567567569
"(0, 1, 3)",0.43243243243243246,0.2857142857142857,0.36363636363636365,0.16216216216216217
"(0, 1, 4)",0.44594594594594594,0.2926829268292683,0.36923076923076925,0.16216216216216217
"(1, 1, 1)",0.5,0.30303030303030304,0.3508771929824561,0.1891891891891892
"(1, 1, 2)",0.47297297297297297,0.2857142857142857,0.3389830508474576,0.1891891891891892
"(1, 1, 3)",0.4594594594594595,0.2894736842105263,0.3548387096774194,0.17567567567567569
"(1, 1, 4)",0.44594594594594594,0.2926829268292683,0.36923076923076925,0.16216216216216217
"(2, 1, 1)",0.4594594594594595,0.2647058823529412,0.3103448275862069,0.20270270270270271
"(2, 1, 2)",0.581081081081081,0.40540540540540543,0.4918032786885246,0.12162162162162163
"(2, 1, 3)",0.4864864864864865,0.26666666666666666,0.2962962962962963,0.21621621621621623
"(2, 1, 4)",0.40540540540540543,0.20588235294117646,0.2413793103448276,0.22972972972972974
"(3, 1, 1)",0.47297297297297297,0.2972972972972973,0.36065573770491804,0.17567567567567569
"(3, 1, 2)",0.527027027027027,0.3333333333333333,0.38596491228070173,0.17567567567567569
"(3, 1, 3)",0.35135135135135137,0.16666666666666666,0.2,0.24324324324324326
"(3, 1, 4)",0.35135135135135137,0.2,0.25,0.21621621621621623
